weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Featherweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,no_of_rounds_3,no_of_rounds_4,no_of_rounds_5,title_bout,Winner,B_current_lose_streak,B_age_ratio,B_current_win_streak,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_ratio,B_Reach_ratio,B_Weight_ratio,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,True,0,0.0,0.33467741935483863,0.3333333333333333,0.25,0.07692307692307693,0.12000000000000001,0.0,0.0,0.2,0.0,0.18181818181818182,0.09090909090909091,0.0,0.17391304347826086,0.5769443720687857,0.6452922077922074,0.4268204758471521,0.0,0.25,0.25,0.14285714285714285,0.3375,0.1875,0.0,0.4,0.4,0.18181818181818182,0.0,0.0,0.4
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,True,0,0.0,0.3887617065556711,0.25,0.1875,0.46153846153846156,0.3866666666666667,0.0,0.0,0.4,0.1,0.0,0.0,0.5,0.17391304347826086,0.5282238345292014,0.5064935064935061,0.4268204758471521,0.0,0.125,0.125,0.14285714285714285,0.3125,0.125,0.0,0.2,0.2,0.0,0.15384615384615385,0.0,0.25
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,False,0,0.0,0.3856221198156681,0.25,0.5,0.6153846153846154,0.9066666666666667,0.0625,0.0,0.0,0.7000000000000001,0.9090909090909092,0.5454545454545454,0.0,1.0,0.567483064095883,0.3896103896103891,0.4268204758471521,0.0,0.6875,0.6875,0.07142857142857142,0.41250000000000003,0.125,0.0,0.2,0.30000000000000004,0.2727272727272727,0.46153846153846156,0.5,0.7000000000000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,False,1,0.0,0.2731924360400444,0.3333333333333333,0.25,0.0,0.12000000000000001,0.0,0.0,0.0,0.2,0.18181818181818182,0.0,0.0,0.17391304347826086,0.6249267196456483,0.4629488158899919,0.4268204758471521,0.14285714285714285,0.0,0.3125,0.14285714285714285,0.25,0.0,0.0,0.2,0.4,0.09090909090909091,0.0,0.0,0.30000000000000004
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,False,1,0.0,0.5578163771712158,0.08333333333333333,0.0625,0.07692307692307693,0.10666666666666667,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.043478260869565216,0.3564849372561718,0.42753246753246676,0.3518439623342291,0.14285714285714285,0.0,0.1875,0.07142857142857142,0.08750000000000001,0.0,0.0,0.0,0.1,0.18181818181818182,0.0,0.0,0.15000000000000002
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,False,0,0.0,0.4493882091212458,0.25,0.25,0.3076923076923077,0.3066666666666667,0.0,0.0,0.0,0.2,0.2727272727272727,0.2727272727272727,0.0,0.34782608695652173,0.4351457926625333,0.25626486189866426,0.4268204758471521,0.0,0.1875,0.25,0.21428571428571427,0.4,0.0,0.0,0.0,0.5,0.09090909090909091,0.23076923076923078,0.0,0.45
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,False,1,0.16666666666666666,0.1548387096774193,0.0,0.0625,0.15384615384615385,0.13333333333333333,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.08695652173913043,0.5784676211982096,0.5990259740259738,0.4268204758471521,0.2857142857142857,0.0,0.1875,0.2857142857142857,0.3125,0.0625,0.0,0.4,0.30000000000000004,0.0,0.0,0.0,0.25
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,False,1,0.0,0.22319093286835212,0.08333333333333333,0.125,0.07692307692307693,0.13333333333333333,0.0,0.0,0.0,0.1,0.18181818181818182,0.0,0.0,0.13043478260869565,0.6164592465438492,0.5481982805926462,0.4268204758471521,0.0,0.0625,0.25,0.3571428571428571,0.42500000000000004,0.0625,0.0,0.0,0.30000000000000004,0.36363636363636365,0.23076923076923078,0.0,0.5
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,False,0,0.0,0.5081201334816461,0.08333333333333333,0.0625,0.46153846153846156,0.3466666666666667,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.17391304347826086,0.386491361686776,0.5534941249226959,0.4268204758471521,0.0,0.1875,0.1875,0.0,0.1125,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.15000000000000002
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,False,1,0.16666666666666666,0.3612903225806451,0.0,0.125,0.38461538461538464,0.18666666666666668,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.08695652173913043,0.3581448671182903,0.31908597731382526,0.4268204758471521,0.14285714285714285,0.0,0.0,0.07142857142857142,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
